"License Number","Status","License Type","Orig. Iss. Date","Expir. Date","Primary Owner","Premises Addr.","Business Name","Geo Code"
"3048","ACTIVE","41","03/01/1976","08/31/2024","PAGNOL ET CIE INC","1517 SHATTUCK AVE,BERKELEY, CA  94709Census Tract:  4217.00","CHEZ PANISSE","0103"
"3048","ACTIVE","58","03/01/1976","08/31/2024","PAGNOL ET CIE INC","1517 SHATTUCK AVE,BERKELEY, CA  94709Census Tract:  4217.00","CHEZ PANISSE","0103"
"18492","ACTIVE","41","05/17/1978","02/28/2025","INTERNATIONAL HOUSE","2299 PIEDMONT EXT,BERKELEY, CA  94720Census Tract:  9821.00","INTERNATIONAL HOUSE","0103"
"18492","ACTIVE","58","05/17/1978","02/28/2025","INTERNATIONAL HOUSE","2299 PIEDMONT EXT,BERKELEY, CA  94720Census Tract:  9821.00","INTERNATIONAL HOUSE","0103"
"22040","ACTIVE","41","12/01/1974","10/31/2024","FATAPPLES INC","1346 MARTIN LUTHER KING JR WY,BERKELEY, CA  94709Census Tract:  4218.00","FATAPPLE'S RESTAURANT & BAKERY","0103"
"32395","ACTIVE","51","03/02/1959","05/31/2025","BAY AREA LODGE # 70 I.B.P.O.E. OF W.","2835 SAN PABLO AVE,BERKELEY, CA  94702-2241Census Tract:  4233.00","PEERLESS LODGE 1146","0103"
"36781","ACTIVE","58","04/16/1965","01/31/2025","BERKELEY YACHT CLUB","1 SEAWALL DR,BERKELEY, CA  94710Census Tract:  4220.00","BERKELEY YACHT CLUB","0103"
"36781","ACTIVE","51","04/16/1965","01/31/2025","BERKELEY YACHT CLUB","1 SEAWALL DR,BERKELEY, CA  94710Census Tract:  4220.00","BERKELEY YACHT CLUB","0103"
"51951","ACTIVE","41","01/01/1976","01/31/2025","MEJIA, JUAN V","941 CARLETON ST,BERKELEY, CA  94710Census Tract:  4220.00","JUANS PLACE","0103"
"54182","ACTIVE","51","01/01/1994","02/28/2025","BERKELEY TENNIS CLUB","1 TUNNEL RD,BERKELEY, CA  94705Census Tract:  4001.00","","0103"
"93820","ACTIVE","20","10/08/1980","10/31/2024","MONTEREY MARKET","1550 HOPKINS ST,BERKELEY, CA  94707-2711Census Tract:  4218.00","MONTEREY MARKET","0103"
"111780","ACTIVE","21","09/01/1981","10/31/2024","STAR GROCERY","3068 CLAREMONT AVE,BERKELEY, CA  94705Census Tract:  4238.00","STAR GROCERY","0103"
