,BusDesc,B1_PER_SUB_TYPE,DBA,Business_Location,add,add_num,street,new_name,alcohol
0,CLOTHING STORE,Retail Trade,RADBIRD LLC,"2938 DOMINGO AVE
BERKELEY, CA 94705
(37.858326993, -122.244123007)",2938 DOMINGO AVE,2938,DOMINGOAVE,RADBIRDLLC,False
1,CATERING,Retail Trade,LA CREPE A MOI,"2432 NINTH ST
BERKELEY, CA 94710
(37.861198004, -122.292466975)",2432 NINTH ST,2432,NINTHST,LACREPEAMOI,False
3,CANNABIS DISPENSARY - MEDICAL,Cannabis,THE APOTHECARIUM,"2312 TELEGRAPH AVE
BERKELEY, CA 94704
(37.868276019, -122.259375976)",2312 TELEGRAPH AVE,2312,TELEGRAPHAVE,THEAPOTHECARIUM,False
4,MASSAGE THERAPY,Massage,PAPEN GINA,"2337 PARKER ST 12
BERKELEY, CA 94704
(37.863221019, -122.261126033)",2337 PARKER ST 12,2337,PARKERST,PAPENGINA,False
6,AUTOMOTIVE REPAIR,Business Personal Repair Svs,AVS SPECIALISTS,"2210 SAN PABLO AVE
BERKELEY, CA 94702
(37.86591601, -122.291499033)",2210 SAN PABLO AVE,2210,SANPABLOAVE,AVSSPECIALISTS,False
7,SERVICE STATION,Retail Trade,BRIDGEWAY SERVICE INC,"3009 ASHBY AVE
BERKELEY, CA 94705
(37.858295016, -122.244736982)",3009 ASHBY AVE,3009,ASHBYAVE,BRIDGEWAYSERVICE,False
9,RENTAL PROPERTY,Rental of Real Property,ADELI PROPERTIES,"1964 SAN PABLO AVE
BERKELEY, CA 94702
(37.869700984, -122.292651964)",1964 SAN PABLO AVE,1964,SANPABLOAVE,ADELIPROPERTIES,False
10,FRISBIE GOLF EQUIPTMENT SALES,Retail Trade,AIRWARE,"1638 JOSEPHINE ST
BERKELEY, CA 94703
(37.876262003, -122.274943014)",1638 JOSEPHINE ST,1638,JOSEPHINEST,AIRWARE,False
11,QUICK FOOD SERVICE,Retail Trade,DIGAME FOODS LLC,"1974 SHATTUCK AVE
BERKELEY, CA 94704
(37.872626017, -122.268802012)",1974 SHATTUCK AVE,1974,SHATTUCKAVE,DIGAMEFOODSLLC,False
12,FLOWER SHOP,Retail Trade,CAMPUS FLOWERS,"2532 DURANT AVE
BERKELEY, CA 94704
(37.867780983, -122.257434978)",2532 DURANT AVE,2532,DURANTAVE,CAMPUSFLOWERS,False
13,"BAGELS, DRINKS, AND COFFEE",Retail Trade,BERKELEY BAGELS,"1281 GILMAN ST
BERKELEY, CA 94706
(37.881699008, -122.290346018)",1281 GILMAN ST,1281,GILMANST,BERKELEYBAGELS,False
14,COFFEE SHOP,Retail Trade,PHILZ COFFEE INC,"BERKELEY, CA 94710
(37.8688863, -122.2968579)","BERKELEY, CA 94710","BERKELEY,","BERKELEY,CA",PHILZCOFFEE,False
17,ARTISAN BREAD BAKERY,Retail Trade,MORELLS BREAD,"2701 EIGHTH ST 114
BERKELEY, CA 94710
(37.85698702, -122.291515964)",2701 EIGHTH ST 114,2701,EIGHTHST,MORELLSBREAD,False
18,RESTAURANT,Retail Trade,IPPUKU,"2128 CENTER ST
BERKELEY, CA 94704
(37.870170999, -122.267054972)",2128 CENTER ST,2128,CENTERST,IPPUKU,True
20,ELECTRICAL CONTRACTOR,Construction or Contractor,OAKLAND ELECTRIC INC,"1334 SIXTH ST
BERKELEY, CA 94710
(37.878052, -122.301288006)",1334 SIXTH ST,1334,SIXTHST,OAKLANDELECTRIC,False
